Entry,Protein names
A0A1R2D3I0,PKD_channel domain-containing protein
A0A6P4ZPV0,LOW QUALITY PROTEIN: uncharacterized protein LOC109475496
K1RG60,Transient receptor potential cation channel subfamily M member 3
A0A3M0JHZ9,PAC domain-containing protein
A0A383VEP0,Cyclic nucleotide-binding domain-containing protein
V8PHK3,Potassium voltage-gated channel subfamily A member 3
A0A4S2M6A9,Ion transport domain-containing protein
A0A1S3IA20,transient receptor potential cation channel subfamily V member 6
M7CCG8,Potassium voltage-gated channel subfamily A member 6
A0A0M0K1F3,Voltage-gated ion channel superfamily
L1JCR4,BK channel (Maxi K channel)
A0A2G8LGR9,Sodium channel protein
A0A1Q9ESJ2,Calmodulin
A0A024THR7,Ion transport domain-containing protein
A0A5B7IMM0,Transient-receptor-potential-like protein
A0A3S3QYB1,Sodium channel protein para-like protein
A0A067LZI3,EF-hand domain-containing protein
A0A3M0KFE9,Ion transport domain-containing protein
A0A5S9X1R5,Potassium channel
A0A5A8C3D2,Ion transport domain-containing protein
A0A0G4EJX4,Ion transport domain-containing protein
K1R9D0,Short transient receptor potential channel 7
A0A653CFX9,Ion transport domain-containing protein
A0A4W3HSJ8,Ryanodine receptor 3
A0A6P5A4X4,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)"
Q32LW7,"Zgc:123261 (potassium Voltage-gated channel, delayed-rectifier, subfamily s, member 3B)"
J9YZF6,Ion transport protein
A0A6P8ICS5,potassium voltage-gated channel protein egl-36-like
A0A183JA41,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A401UE68,Ion transporter
A0A7I4AYV8,EF-hand domain-containing protein
A0A6A4VP56,Replication factor C subunit 3
Q688B4,Ion transport domain-containing protein
A0A5A7PSG5,Cyclic nucleotide-gated channel 18
A0A267DXS6,Ion transport domain-containing protein
A0A1Y3BJL5,Voltage-gated calcium channel-like protein
A0A1H3QIY8,Voltage-gated potassium channel
P11881,"Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Inositol 1,4,5-trisphosphate-binding protein P400) (Protein PCD-6) (Purkinje cell protein 1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)"
M7AVH5,Potassium voltage-gated channel subfamily S member 1
A0A168T2X0,Ion transport domain-containing protein
A0A444UCW2,Ryanodine receptor 2
A0A1D2M9F6,Ankyrin-3
A0A4W3J7L0,Potassium voltage-gated channel subfamily V member 2-like
A0DX40,"Chromosome undetermined scaffold_68, whole genome shotgun sequence"
H3GSS1,Cyclic nucleotide-binding domain-containing protein
A0A2G9S1K2,Ion transport domain-containing protein
A0A4Y7JKK6,Cyclic nucleotide-binding domain-containing protein
A0A024TEF7,Ion transport domain-containing protein
T1HBH5,Ion transport domain-containing protein
A0A6J8BY58,KCNC1
A0A016W4W2,BTB domain-containing protein
T1EU74,LSDAT_euk domain-containing protein
G2Q2C4,EF-hand domain-containing protein
A0A1Q9EXQ4,Calmodulin
F0XZY1,Ion transport domain-containing protein
A0A5E4M8G9,BTB domain-containing protein
A0A1Q9EXD0,Calmodulin
A0A6G0V2J6,Ion transport domain-containing protein
A0A6P8HUJ6,Sodium channel protein
A0A4V2PGY3,Voltage-gated potassium channel
A0A3R7PZE3,Ion transport domain-containing protein
A0ECH3,"Chromosome undetermined scaffold_9, whole genome shotgun sequence"
A0A482QXG3,Ion transport domain-containing protein
A0A6H5J3N4,Ion transport domain-containing protein
A0A2R6PUV6,Cyclic nucleotide-gated ion channel 8
A0A392P4V8,Potassium channel KAT3-like
A0A5E4MF47,Cyclic nucleotide-binding domain-containing protein
A7ANJ9,Ion transport domain-containing protein
T1JKK7,Ion transport domain-containing protein
A0A2Z6R6W4,Ion transport domain-containing protein
A0A2T7NME3,EF-hand domain-containing protein
A0A3M0J675,Uncharacterized protein
A0A4Y7JKT2,Potassium channel
A0A2A2KJY0,Voltage-dependent L-type calcium channel subunit alpha
A0A5N5QRT0,Potassium voltage-gated channel family protein
A0A3P8AR88,Cyclic nucleotide-binding domain-containing protein
A0A6P8J7K2,potassium voltage-gated channel subfamily H member 6-like isoform X5
A0A6P8HS75,potassium voltage-gated channel subfamily A member 7-like
A0A3R7PKU6,BK channel (Maxi K channel)
A0A267DC92,Ion transport domain-containing protein
A0A1J1J8G0,"CLUMA_CG021302, isoform B"
G0QSR4,Cyclic nucleotide-binding domain-containing protein
A0A7M5UXW5,Ion transport domain-containing protein
A0A1J4KS35,Ion transport domain-containing protein
A0A2G9TJK5,Ion transport domain-containing protein
A0A183EWE2,Ion_trans domain-containing protein
A0A1R2D1U6,Cyclic nucleotide-binding domain-containing protein
A0A6P8YVY0,Sodium channel protein
A0A0C2BLI3,"Transporter, cation channel family protein"
A0A328DN54,Cyclic nucleotide-binding domain-containing protein
A0A3M0JYE5,Potassium voltage-gated channel subfamily H member 8
A0A1X6NW28,EF-hand domain-containing protein
A0A4W3GG02,"Inositol 1,4,5-trisphosphate receptor"
A0A5J4N6U6,Potassium voltage-gated channel Eag-related subfamily H member 5
A0A1D1W7I1,BTB domain-containing protein
A7SZ40,Ion transport domain-containing protein
A0A6I9HC49,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)"
A0A6P8HS21,potassium voltage-gated channel subfamily D member 1-like
A0A1S4GRV7,Uncharacterized protein
E7FDL5,"Transient receptor potential cation channel, subfamily M, member 1a (transient receptor potential cation channel, subfamily M, member 1a isoform 1)"
A0A654HAC8,Cyclic nucleotide-binding domain-containing protein
A0A482R1Z1,Ion transport domain-containing protein
Q5SUF9,"Calcium channel, voltage-dependent, T type, alpha 1G subunit"
B7PGF0,Ion transport domain-containing protein
A0A267DRF8,Potassium voltage-gated channel subfamily H member 2 (Ether-a-go-go-related gene potassium channel 1) (Voltage-gated potassium channel subunit Kv11.1)
A0A4Z2J078,Sodium channel protein
A0A1Q9DVB8,Copia protein
A0A0D2X287,Ion transport domain-containing protein
E1ZIQ1,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A226EKH8,Sodium channel protein
Q5F4S6,"Transient receptor potential cation channel, subfamily M, member 3"
A0A6L2P9J2,Ion transport domain-containing protein
A0A2G9PQX6,Ion transport domain-containing protein
A0A4W3IA55,"Potassium voltage-gated channel, Shaw-related subfamily, member 1b"
A0A0M0K359,Voltagegated ion channel superfamily
V3ZN26,Voltage-dependent calcium channel alpha-1 subunit IQ domain-containing protein
A0A183ARP3,ANK_REP_REGION domain-containing protein
A0A1Z5JGD0,Ion transport domain-containing protein
A0A7J7JGN3,Cyclic nucleotide-binding domain-containing protein
A0A1S3I214,transient receptor potential cation channel subfamily V member 1 isoform X2
A0A4W3IX37,Cyclic nucleotide gated channel subunit alpha 1b
W7TNT8,Ion transport domain-containing protein
A0A2Z6RTG3,Ion transport domain-containing protein
A0A6P8I162,transient receptor potential cation channel subfamily A member 1 homolog
A0A4W3J495,Ion transport domain-containing protein
A0A1D1UM48,Ion transport domain-containing protein
Q22XZ8,Cation channel family transporter
A0A4S8M279,Ion transport domain-containing protein
A0A1Q9DQ63,Calmodulin
A0A5B8MJV6,Voltage-gated ion channel protein
V8PE80,Sodium channel protein type 5 subunit alpha
A0A4W3IAH8,Hyperpolarization activated cyclic nucleotide gated potassium channel 4
A0A444UMJ6,Short transient receptor potential channel 1
A0A078B0V6,Ion transport domain-containing protein
A0A1J4JAL4,Cation channel family protein
A0A2F0AWQ7,Potassium voltage-gated channel subfamily H member 3
G5EDN5,"KQT-1 potassium channel (Potassium channel, KvQLT family)"
A0A087W1H7,Potassium voltage gated channel subfamily D
A0A1L8FT87,transient receptor potential cation channel subfamily A member 1
X6NJW6,Ion transport domain-containing protein
A0A250X239,Ion transport domain-containing protein
A0A7M7PMJ3,Voltage-dependent calcium channel alpha-1 subunit IQ domain-containing protein
A0A397V0E7,Ion transport domain-containing protein
A0A7M6DJU0,Ion transport domain-containing protein
A0A4Z2GU19,Voltage-dependent L-type calcium channel subunit alpha-1D
A0A4Y2BVD2,Sodium channel protein para
A0A4Z2HFN8,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
A0A397VBJ8,Ion transport domain-containing protein
A0A553NXX5,BTB domain-containing protein
A0A016W7H1,Ion transport domain-containing protein
A0A4V3SGT9,Voltage-dependent L-type calcium channel subunit alpha
A0A158Q975,BTB domain-containing protein
A0A0C2F914,Ion transport domain-containing protein
A0A6P6Y0U1,potassium voltage-gated channel protein eag-like isoform X2
A0A1Q9DLU6,Putative E3 ubiquitin-protein ligase HERC1
A0A1D2MKP3,Sodium channel protein 60E
A0A0M0KAZ3,Ion transport domain-containing protein
A0A177BC14,CanIon
A0A024UKH3,Ion transport domain-containing protein
A0A250XLE7,EF-hand domain-containing protein
A0A1R2CC96,Cyclic nucleotide-binding domain-containing protein
A0A2R6PWN0,Protein CNGC15c like
A0A267DH19,EF-hand domain-containing protein
M7BVK3,Sodium channel protein type 5 subunit alpha
A0A5P1EQ91,Cyclic nucleotide-binding domain-containing protein
A0A0G4EBH6,Ion transport domain-containing protein
A0A016SL84,LSDAT_euk domain-containing protein
A0A7M7LPA6,Ion transport domain-containing protein
X6LPS6,Ion transport domain-containing protein
A0A4C1WZJ9,Potassium voltage-gated channel protein Shaw
A0A4U5LXH8,Ion transport domain-containing protein
A7RJZ6,BTB domain-containing protein
M7BXS3,Transient receptor potential cation channel subfamily M member 2
H2XSF3,Ryanodine receptor
A0A1Q9DGW9,Calmodulin
A0A6P4YRB0,Sodium channel protein
A0DBZ5,"Chromosome undetermined scaffold_45, whole genome shotgun sequence"
A0A7M5XIZ0,Ion transport domain-containing protein
A7SD04,VWFA domain-containing protein
I1KW21,Potassium channel
A0A4Y2E948,Transient receptor potential-gamma protein
A0A6J8BBD8,TRPM1
D6WY23,Potassium voltage-gated channel protein Shaw-like Protein
A0A210PSX0,Potassium voltage-gated channel protein Shaw
A0A3M0JE68,Ion_trans domain-containing protein
A0A6P4YHF7,Voltage-dependent L-type calcium channel subunit alpha
G4MNL6,EF-hand domain-containing protein
A0A4U5MG61,BTB domain-containing protein
A0A7M7PBT2,LSDAT_euk domain-containing protein
A0A093BK99,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
A0A226F3H7,Transient receptor potential cation channel subfamily A member 1
A0A6P4Z6S1,transient receptor potential cation channel subfamily A member 1-like isoform X4
A0A1Y1ID64,K+-channel ERG and related proteins
A0A2K3DA34,Ion transport domain-containing protein
Q91WD2,Transient receptor potential cation channel subfamily V member 6 (TrpV6) (Calcium transport protein 1) (CaT1) (Epithelial calcium channel 2) (ECaC2)
A0DIW0,"Chromosome undetermined scaffold_52, whole genome shotgun sequence"
A0A4S2L7E9,Ion transport domain-containing protein
A0A1Q9E615,Potassium voltage-gated channel subfamily H member 7
A0A4W3GHU7,"Inositol 1,4,5-trisphosphate receptor"
A0A6V7Y027,Ion transport domain-containing protein
A0A6V7UZ39,BTB domain-containing protein
A0A1Y2HCJ2,Ion transport protein-domain-containing protein
A7S8W8,BTB domain-containing protein
A0A3M7Q2B3,Transient receptor potential cation channel subfamily V member 3-like isoform X2
A0A1Q9EUL6,Kinase D-interacting substrate of 220 kDa
A0A016TWS9,BTB domain-containing protein
A0A7E6F6Y6,Sodium channel protein
H2KZE8,BTB domain-containing protein
A0A6P4ZQU8,potassium voltage-gated channel subfamily B member 1-like
A0A6G0UH83,BTB domain-containing protein
T1H6Q1,Ion transport domain-containing protein
M7N941,MlotiK1 channel protein
A0A077ZUU8,Cyclic nucleotide-binding domain-containing protein
H3GSJ4,EF-hand domain-containing protein
A0A0B2VS50,Potassium voltage-gated channel subfamily KQT member 1 (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
O08562,Sodium channel protein type 9 subunit alpha (Peripheral sodium channel 1) (PN1) (Sodium channel protein type IX subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.7)
A0A250WV54,Cyclic nucleotide-binding domain-containing protein
A0A1L8EPB7,potassium voltage-gated channel subfamily H member 7 isoform X5
B3RSS2,Ion transport domain-containing protein
A0A226EFD9,Potassium voltage-gated channel protein Shab
A0A1J1HW14,"CLUMA_CG004395, isoform B"
A0A6P6YEG6,potassium voltage-gated channel subfamily KQT member 3-like isoform X1
I7LX47,Zinc knuckle protein
A0A1S3HTM8,potassium voltage-gated channel subfamily H member 6
A0A5E8AZW1,EF-hand domain-containing protein
A0A7M7MYB2,LSDAT_euk domain-containing protein
A0A392MU87,Potassium channel KAT1-like
A0A4W3IKF4,Transient receptor potential cation channel subfamily C member 6
A0A7E6FIE9,sodium leak channel non-selective protein-like isoform X2
A0A139WF05,Cyclic nucleotide-gated cation channel subunit A-like Protein
A0A2A2J9T1,Ion transport domain-containing protein
B7FUF5,Ion transport domain-containing protein
A0A1S3IN79,two pore calcium channel protein 1 isoform X2
A0BF12,"Chromosome undetermined scaffold_103, whole genome shotgun sequence"
A0A3S1BKZ5,LSDAT_euk domain-containing protein
K1PIH3,Potassium voltage-gated channel subfamily B member 1
V4AV47,Uncharacterized protein
A0A199VPX1,Potassium channel
A0A5K4FBJ8,Voltage-gated potassium channel
A0A0T6B6C6,cNMP binding protein
A0A1S3IH59,transient receptor potential cation channel subfamily M member 1-like isoform X6
A0A6P8I0E3,potassium voltage-gated channel subfamily D member 1-like
A0A183ANQ4,Ion_trans domain-containing protein
A0A1D2N0Z4,Transient receptor potential channel pyrexia
A0A6I9HT21,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
A0A024TT24,EF-hand domain-containing protein
F2TW72,Sodium channel alpha subunit
S4S114,Potassium voltage-gated channel 1d (Potassium voltage-gated channel subfamily A member 3)
A0A4Y2QDY9,Sodium channel protein
A0A4P9W2V0,Ion transport protein-domain-containing protein
A0A183VM11,Cyclic nucleotide-binding domain-containing protein
A0A6V7VZL0,Uncharacterized protein
A0A4Z2GYC7,Sodium leak channel non-selective protein
A0A2I0T7R8,Ion transport domain-containing protein
A0A4U5NGH3,Ion transport domain-containing protein
G2LET8,Ion transport protein
A0A183W200,Ion_trans domain-containing protein
A0A0B1S6D4,"Transporter, cation channel family protein"
A0A0C2FFN8,Ion transport domain-containing protein
A0A1Q9CYI2,Voltage-dependent L-type calcium channel subunit alpha-1F
R1D236,Ion transport domain-containing protein
D6X119,Potassium voltage-gated channel protein eag-like Protein
A0A0V0YFI0,Ryanodine receptor 44F
A0A0L0DNI6,Cyclic nucleotide-binding protein
A0A1X7U5M2,Ion transport domain-containing protein
S4RGB1,"Potassium voltage-gated channel 10a (Potassium voltage-gated channel, subfamily H (eag-related), member 1b)"
T1JBU7,Ion transport domain-containing protein
A0A7E6F3F8,potassium voltage-gated channel subfamily A member 1 isoform X3
A0A3P7NJ77,Ion transport domain-containing protein
A0A6P6Y4R0,uncharacterized protein LOC113794122
A0A482WXP7,Ion transport domain-containing protein
A0A1R2BZQ7,Cyclic nucleotide-binding domain-containing protein
A0A1S3I1H8,uncharacterized protein LOC106160149 isoform X1
A0E8I2,"Chromosome undetermined scaffold_82, whole genome shotgun sequence"
A0A2G5L663,Ion transporter
A0A1Q9EL46,Calmodulin
A0A2T7NJJ4,Cyclic nucleotide-binding domain-containing protein
P70227,"Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)"
A0A2P8XNZ7,Ion transport domain-containing protein
A0A077Z984,Short transient receptor potential channel 5
A0A1Q9EHG3,Calmodulin
A0A1R2CWZ5,Cyclic nucleotide-binding domain-containing protein
A0A654HA79,LSDAT_euk domain-containing protein
A0A5J4Z1M3,Potassium voltage-gated channel subfamily KQT member 1
A0A6P6XSX3,voltage-dependent T-type calcium channel subunit alpha-1G-like isoform X1
A0A4Z2I7Y8,Voltage-dependent L-type calcium channel subunit alpha-1F
A0A4Z2EQ41,Voltage-dependent L-type calcium channel subunit alpha-1S
D8R498,Uncharacterized protein SmCNGC4_1
Q00975,"Voltage-dependent N-type calcium channel subunit alpha-1B (Brain calcium channel III) (BIII) (Calcium channel, L type, alpha-1 polypeptide isoform 5) (Voltage-gated calcium channel subunit alpha Cav2.2)"
A0A4C1SAT4,Transient receptor potential-gamma protein
A0A662YUJ6,Sodium channel protein type 4 subunit alpha
A0A482WN14,Cyclic nucleotide-binding domain-containing protein
A0A4Z2HLD6,Potassium voltage-gated channel subfamily G member 2
A0A653CTF1,Ion transport domain-containing protein
A0A199UT06,Potassium channel
R7V9J3,BTB domain-containing protein
A8DYE2,"Transient receptor potential cation channel trpm (Transient receptor potential cation channel, subfamily M ortholog)"
A7RLC8,BTB domain-containing protein
Q14643,"Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)"
A0A024GD94,Ion transport domain-containing protein
A0A553P1T3,Voltage-dependent calcium channel alpha-1 subunit IQ domain-containing protein
A0A2J6LKD7,Cyclic nucleotide-binding domain-containing protein
A0A397UV33,Ion transport domain-containing protein
A0A5A8CEP1,Ion transport domain-containing protein
P19024,Potassium voltage-gated channel subfamily A member 5 (RCK7) (RK4) (Voltage-gated potassium channel subunit Kv1.5)
A0A6P8HE56,uncharacterized protein LOC116291656 isoform X2
A0A6P4ZFW1,potassium voltage-gated channel subfamily A member 1-like
A0A6P8HU12,mucolipin-3-like isoform X2
D5MCS0,BTB domain-containing protein
T1KQP5,"Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase"
A0A6A4K4W8,Ion transport domain-containing protein
A0A2R6R4F4,Potassium channel
A0A3P6TSB9,Ion transport domain-containing protein
A0A016W6N4,Ion transport domain-containing protein
A0A6P4ZVZ0,uncharacterized protein LOC109482706
T1H8K7,Uncharacterized protein
A0A2Z4UJZ7,Cyclic nucleotide-gated potassium channel
B8BSH1,Calcium channel
A0A1Y1IPR6,Cytochrome b5 isoform
A0A024TXH0,Ion transport domain-containing protein
V8NFU2,Potassium voltage-gated channel subfamily G member 3
Q925B3,Transient receptor potential cation channel subfamily M member 7 (EC 2.7.11.1) (Long transient receptor potential channel 7) (LTrpC-7) (LTrpC7) (Transient receptor potential-phospholipase C-interacting kinase) (TRP-PLIK)
A0A6P8IU98,transient receptor potential cation channel subfamily M member 3-like
A0A1D2M7I0,Sodium channel protein
A0A3S3PFE6,Voltage-dependent T-type calcium channel subunit alpha-1H-like protein
A0A024TFV9,Cyclic nucleotide-binding domain-containing protein
E1BYX3,Potassium voltage-gated channel subfamily B member 1 (Voltage-gated potassium channel subunit Kv2.1)
A7SI05,Potassium channel
A7S0A4,Ion transport domain-containing protein
A0A1L8HXS6,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
A0A1Q9DJC6,Calmodulin
A0A7I4E6D0,Uncharacterized protein
D8LTL9,Similar to Oryza sativa TPC1_ORYSJ Two pore calcium channel protein 1. Protein
A0A068YK04,Potassium voltage gated channel subfamily A
A0A3P6SLN1,Ion transport domain-containing protein
A0A0M0JWZ5,Voltage-gated sodium channel
A0A3M0K7X4,BTB domain-containing protein
Q9PT84,Potassium voltage-gated channel subfamily H member 6 (Ether-a-go-go-related gene potassium channel) (ERG) (Eag-related protein) (Ether-a-go-go-related protein) (Voltage-gated potassium channel subunit Kv11.2)
A0A433PBN9,Ion transport domain-containing protein
A0A267GUI6,BTB domain-containing protein
A0A3P7N2T7,Ion transport domain-containing protein
V8NPL4,Potassium voltage-gated channel subfamily D member 2
A0A1Q9CN31,Calmodulin
A0A2J6K5R1,Ion transport domain-containing protein
A0A2P4SHD9,Potassium voltage-gated channel subfamily KQT member 4
A0A2T7NED0,LSDAT_euk domain-containing protein
A0A310TQM5,potassium voltage-gated channel subfamily C member 2 isoform X3
A0A0M2R846,Ion transporter
A0A0G4EG47,Ion transport domain-containing protein
A0A2G8JV62,Putative voltage-dependent T-type calcium channel subunit alpha-1H-like
A0A068YKD2,Sodium leak channel non selective protein
A0A6L2Q059,Cyclic nucleotide-binding domain-containing protein
A0A090LSU7,Narrow abdomen
A0A1Q9EGF3,Calmodulin
L1JLI1,Ion transport domain-containing protein
A0A4Z2HL59,Potassium voltage-gated channel subfamily H member 2
A0A6J8CK39,Ion transport domain-containing protein
A0A328RC57,Ion transporter
S4RPY0,"Transient receptor potential cation channel, subfamily C, member 3"
Q9N3Y9,Ion_trans domain-containing protein
A0A6V7X188,Ion transport domain-containing protein
A0A1Q9EI33,Potassium voltage-gated channel subfamily H member 2
A0A0L0T6G1,Cyclic nucleotide-binding domain-containing protein
H2KZE7,BTB domain-containing protein
A0A3P6QZ12,Ion transport domain-containing protein
A0A183VVP7,Ion_trans domain-containing protein
A0A0L0TEW3,Ion transport domain-containing protein
A0A1I7RMR2,Uncharacterized protein
A0A267DMK1,"Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase"
A0A0V0QWF5,Ion transport domain-containing protein
A0A507FLW2,Ion transport domain-containing protein
M7B5T3,Transient receptor potential cation channel subfamily V member 6
T1G7B6,Sodium channel protein
A0A654GPX8,Ion transport domain-containing protein
A0A267FX17,LSDAT_euk domain-containing protein
A0A4Y2TV54,Sodium leak channel non-selective protein
C1DYN1,Voltage-gated ion channel superfamily
A0A0C3S0T5,Ion transport domain-containing protein
A0A6P7TKQ7,potassium voltage-gated channel subfamily H member 6
Q01668,"Voltage-dependent L-type calcium channel subunit alpha-1D (Calcium channel, L type, alpha-1 polypeptide, isoform 2) (Voltage-gated calcium channel subunit alpha Cav1.3)"
A0A3S3SHH0,Ion channel nompc-like protein
A0A183AED9,Ion transport domain-containing protein
S8CPV5,Cyclic nucleotide-binding domain-containing protein
A0A0C2CPY7,"Transporter, cation channel family protein"
A0A6P4Y4J4,Voltage-dependent L-type calcium channel subunit alpha
A0A093BL49,Potassium voltage-gated channel subfamily C member 4
S4RUJ4,Ion transport domain-containing protein
A0A1R2BGF6,MIR domain-containing protein
A0A1Q9E9N5,Calmodulin
A0A653CXL1,LSDAT_euk domain-containing protein
A0A7M5TSR1,BTB domain-containing protein
K1QB47,Potassium voltage-gated channel subfamily KQT member 5
Q61290,"Voltage-dependent R-type calcium channel subunit alpha-1E (Brain calcium channel II) (BII) (Calcium channel, L type, alpha-1 polypeptide, isoform 6) (Voltage-gated calcium channel subunit alpha Cav2.3)"
A0A024UDD4,ANK_REP_REGION domain-containing protein
A0A0R4J5I1,Cyclic nucleotide-binding domain-containing protein
Q7XUW4,Potassium channel KOR2 (K(+) outward-rectifying channel 2)
A0A6P8YLZ5,transient receptor potential cation channel subfamily V member 6
A0A077ZWB8,Cyclic nucleotide-binding domain-containing protein
I1K949,Cyclic nucleotide-binding domain-containing protein
A0A653CAR2,Ion transport domain-containing protein
A0A1Q9F2H5,Voltage-dependent T-type calcium channel subunit alpha-1G
A0A4W3HVG6,Ryanodine receptor 3
A0A1Q9D8U0,Calmodulin
A0A3S1CD17,Ion transport domain-containing protein
A0A1Y1HHX7,Putative cyclic nucleotide-gated ion channel
A0A1Q9F3I3,Calmodulin
A0A4U8UZU7,Voltage-dependent L-type calcium channel subunit alpha
A0A0M0K249,Voltage-gated ion channel superfamily
A0A6P5A1X7,voltage-dependent calcium channel type A subunit alpha-1-like isoform X8
A7RJZ5,BTB domain-containing protein
A0BJ92,"Chromosome undetermined scaffold_11, whole genome shotgun sequence"
A0A3P7JA34,Ion transport domain-containing protein
A0A6A4VKE5,Potassium voltage-gated channel subfamily H member 8
A0A6P7U2Q8,potassium voltage-gated channel subfamily A member 10-like
A0A0M0LQ69,Voltage-gated ion channel superfamily
A0A4W3JSJ3,Two pore calcium channel protein 1-like
J1FAS7,Ion transport protein
U4PE60,Ion_trans domain-containing protein
A0A7J7B443,"Inositol 1,4,5-trisphosphate receptor"
A0A0D8XA65,"Transporter, cation channel family protein"
M7BLC9,Sodium channel protein
A0A5N5TPL8,Potassium voltage-gated channel subfamily H member 6
A0A016SK87,LSDAT_euk domain-containing protein
B8LCD0,Ion transport domain-containing protein
A0A2R2MNT3,sodium channel protein type 10 subunit alpha-like
A0A553N7G0,BTB domain-containing protein
A0A3R7PW16,Putative potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3-like
A0A183A6N3,Ion_trans domain-containing protein
A0A087UGT1,Voltage-dependent T-type calcium channel subunit alpha-1I
A0A653CXM3,LSDAT_euk domain-containing protein
B7G688,Ion transport domain-containing protein
A0A2T7PSP1,Cyclic nucleotide-binding domain-containing protein
A0A3S3PK05,Potassium voltage-gated channel subfamily H member 8-like protein
A0A6N1DQI7,Ion transporter
A0A2J6JMM7,Cyclic nucleotide-binding domain-containing protein
F0YMS4,Ion transport domain-containing protein
O75762,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor)
S4RTT8,Potassium voltage-gated channel subfamily KQT member 1 (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
A0A4W3HLN3,Potassium voltage-gated channel subfamily KQT member 1 (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
A0A078AIX5,Cation channel family protein
A0A4V3SD42,BTB domain-containing protein
F2UDI3,LSDAT_euk domain-containing protein
A0A397I863,Ion transport domain-containing protein
A0A183IIL6,Ion transport domain-containing protein
A0A226E3Q7,Transient receptor potential channel pyrexia
A0A0D2X364,MIR domain-containing protein
A0A6J8C2E3,Ion transport domain-containing protein
A0A1Q9CIX3,Calmodulin
A0A087UGT0,Voltage-dependent T-type calcium channel subunit alpha-1G
A0A1L8GBL3,potassium voltage-gated channel subfamily S member 3
A0A4Z2E0U7,Potassium voltage-gated channel subfamily G member 1
A0A2K3DXC0,Ion transport domain-containing protein
L1ILA4,Ion transport domain-containing protein
A0A7I8W7V8,DgyrCDS11410
A0A7E6ETA7,cyclic nucleotide-gated cation channel beta-3-like isoform X3
A0A0V0XKH0,Potassium voltage-gated channel protein Shab
B7PBX3,"Transient receptor potential channel 4, putative (EC 2.7.11.1)"
D8LHA0,Transient Receptor Potential Channel. Partial sequence
A0A5E4MPJ4,Voltage-dependent L-type calcium channel subunit alpha
A0A6P8HQY6,potassium voltage-gated channel subfamily D member 3-like
V8N4H4,Potassium voltage-gated channel subfamily H member 2
A0A1Q9CL32,Calmodulin
A0A0N4VZ95,Ion_trans domain-containing protein
A0A0S4JD18,"Voltage-gated ion channel protein, putative"
A0A0C2G8A8,Ion_trans domain-containing protein
A0A6P4YTL1,Sodium channel protein
I7M1W3,Cation channel family protein
T1EH36,Ion transport domain-containing protein
A0A1J1IJT5,"CLUMA_CG013752, isoform A"
A0DXQ5,"Chromosome undetermined scaffold_69, whole genome shotgun sequence"
A0A1L8FZX7,potassium voltage-gated channel subfamily V member 1
A0A1R2C7N2,Ion transport domain-containing protein
T1K6F3,Ryanodine receptor
A0A0V0XV17,Cyclic nucleotide-gated cation channel beta-1
A0A5A8C9L1,Ion transport domain-containing protein
A0A1Q9EQG9,Werner syndrome ATP-dependent helicase-like
I7MHB5,Cation channel family protein
A0A6P7TC92,"Inositol 1,4,5-trisphosphate receptor"
A0A5B8MZS0,Ion transport protein
A0A4Z2GXD5,Sodium leak channel non-selective protein
A0A5A8BZZ9,Ion transport domain-containing protein
A0A158R2V5,Cyclic nucleotide-gated cation channel (inferred by orthology to a C. elegans protein)
